league_id,no1,callage_name,w,l,no2,name11,name12,mc1,s01,s11,s12,s21,s22,s31,s32,s02,name21,name22,mc2,remarks
201911,1,国士舘大学,0,5,1,村山,,,0,11,21,12,21,,,2,藤井,,,
201911,1,国士舘大学,0,5,2,佐藤,,,0,12,21,16,21,,,2,吉田,,,
201911,1,国士舘大学,0,5,3,小山,須山,,0,10,21,15,21,,,2,小川,藤井,,
201911,1,国士舘大学,0,5,4,青木,佐藤,,0,18,21,10,21,,,2,松井,吉田,,
201911,1,国士舘大学,0,5,5,平松,,1,0,16,21,16,21,,,2,栗田,,1,
201911,2,千葉大学,1,4,1,村山,,,0,9,21,11,21,,,2,神保,,,
201911,2,千葉大学,1,4,2,佐藤,,,2,19,21,21,13,21,18,1,斎藤,,,
201911,2,千葉大学,1,4,3,青木,佐藤,,0,12,21,8,21,,,2,清水,有澤,,
201911,2,千葉大学,1,4,4,小山,須山,,0,18,21,17,21,,,2,神保,北澤,,
201911,2,千葉大学,1,4,5,木口,,1,0,18,21,29,30,,,2,仲本,,1,
201911,3,北里大学,5,0,1,村山,,,2,21,17,21,16,,,0,倉井,,,
201911,3,北里大学,5,0,2,小山,,,2,21,11,21,13,,,0,服部,,,
201911,3,北里大学,5,0,3,青木,小川,,2,21,16,21,14,,,0,倉井,平井,,
201911,3,北里大学,5,0,4,小山,須山,,2,21,12,21,10,,,0,金子,服部,,
201911,3,北里大学,5,0,5,青木,,,2,21,18,21,18,,,0,平井,,,
201911,4,日本大学経済学部,1,4,1,村山,,,0,19,21,14,21,,,2,小林,,,
201911,4,日本大学経済学部,1,4,2,佐藤,,,0,10,21,13,21,,,2,青鹿,,,
201911,4,日本大学経済学部,1,4,3,小山,須山,,0,13,21,11,21,,,2,河原,江澤,,
201911,4,日本大学経済学部,1,4,4,青木,佐藤,,2,19,21,21,14,21,13,1,中島,青鹿,,
201911,4,日本大学経済学部,1,4,5,木口,,1,0,14,21,6,21,,,2,河原,,1,
201911,5,山梨学院大学,2,3,1,小山,,,2,19,21,22,20,21,13,1,佐藤,,,
201911,5,山梨学院大学,2,3,2,佐藤,,,1,21,15,19,21,12,21,2,市川,,,
201911,5,山梨学院大学,2,3,3,小山,須山,,0,10,21,18,21,,,2,佐藤,桑原,,
201911,5,山梨学院大学,2,3,4,青木,佐藤,,2,21,11,21,7,,,0,市川,御子柴,,
201911,5,山梨学院大学,2,3,5,青木,,,0,19,21,19,21,,,2,桑原,,,