year,season,m,m_flag,m_detail,f,f_flag,f_detail
2006,1,4 部 3 位,0,,4 部 6 位,-1,
2006,2,4 部 5 位,0,,5 部 2 位,0,
2007,1,4 部 6 位,-1,,5 部 5 位,0,
2007,2,5 部 5 位,0,,5 部 5 位,0,
2008,1,5 部 3 位,0,,5 部 6 位,-1,
2008,2,5 部 3 位,0,,6 部 2 位,0,
2009,1,5 部 3 位,0,,6 部 1 位,1,
2009,2,5 部 4 位,0,,5 部 3 位,0,
2010,1,5 部 4 位,0,,5 部 4 位,0,
2010,2,5 部 4 位,0,,5 部 2 位,0,
2011,1,中止,,,中止,,
2011,2,5 部 3 位,0,,5 部 2 位,0,
2012,1,5 部 2 位,0,,5 部 1 位,0,
2012,2,5 部 2 位,0,,5 部 1 位,1,
2013,1,5 部 2 位,0,,4 部 1 位,0,
2013,2,5 部 3 位,0,,4 部 3 位,0,
2014,1,5 部 4 位,0,,4 部 3 位,0,
2014,2,5 部 2 位,0,,4 部 2 位,0,
2015,1,5 部 2 位,0,,4 部 4 位,0,
2015,2,5 部 4 位,0,,4 部 6 位,0,
2016,1,5 部 4 位,0,,4 部 6 位,-1,
2016,2,5 部 2 位,0,,5 部 4 位,0,
2017,1,5 部 2 位,0,,5 部 5 位,0,
2017,2,5 部 1 位,0,,5 部 5 位,0,
2018,1,5 部 2 位,0,,5 部 3 位,0,
2018,2,5 部 1 位,1,,5 部 5 位,0,