year,season,m_class,m_rank,m_flag,m_detail,f_class,f_rank,f_flag,f_detail,m_remarks,f_remarks
2006,1,4,3,0,,4,6,-1,,,
2006,2,4,5,0,,5,2,0,,,
2007,1,4,6,-1,,5,5,0,,,
2007,2,5,5,0,,5,5,0,,,
2008,1,5,3,0,,5,6,-1,,,
2008,2,5,3,0,,6,2,0,,,
2009,1,5,3,0,,6,1,1,,,
2009,2,5,4,0,,5,3,0,,,
2010,1,5,4,0,,5,4,0,,,
2010,2,5,4,0,,5,2,0,,,
2011,1,,,,,,,,,中止,中止
2011,2,5,3,0,,5,2,0,,,
2012,1,5,2,0,,5,1,0,,,
2012,2,5,2,0,,5,1,1,,,
2013,1,5,2,0,,4,1,0,,,
2013,2,5,3,0,,4,3,0,,,
2014,1,5,4,0,,4,3,0,,,
2014,2,5,2,0,,4,2,0,,,
2015,1,5,2,0,,4,4,0,,,
2015,2,5,4,0,,4,6,0,,,
2016,1,5,4,0,,4,6,-1,,,
2016,2,5,2,0,,5,4,0,,,
2017,1,5,2,0,,5,5,0,,,
2017,2,5,1,0,,5,5,0,,,
2018,1,5,2,0,,5,3,0,,,
2018,2,5,1,1,,5,5,0,,,